Strategy,Period,Start,End,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,TotalCost,Family,DisplayedValue
Stage36_Frozen,full_2007_2026,2007-04,2026-07,232.0,0.10499388753644401,0.09471746379382788,1.1049112900976705,2.2018564576729873,-0.12407087222855073,0.8462412301175328,6.891137718102493,0.6293103448275862,0.03697755168008389,0.02653545189962293,,
Stage36_Frozen,common_2010_2026,2010-01,2026-07,199.0,0.09231779291550102,0.08719344303034167,1.059236031302839,2.0494518521151313,-0.12407087222855073,0.7440730548379041,4.324684030251604,0.6331658291457286,0.02794656838177176,0.018091388767247366,,
Stage36_Frozen,locked_2018_2026,2018-01,2026-07,103.0,0.12625620430876783,0.1017821983608951,1.223505157307841,2.537784595262482,-0.11931111403506678,1.0582099189155154,2.7747206697022753,0.6310679611650486,0.026155145410928424,0.008688700886939259,,
Stage44_PF_BothGuards,full_2007_2026,2007-04,2026-07,232.0,0.10657858747686322,0.09655269239099253,1.1006709893545301,2.1796710662175056,-0.12326364165170356,0.8646392889966208,7.0847370697986385,0.6293103448275862,0.04105385192075331,0.029463288135792548,core_ablation,
Stage44_PF_BothGuards,common_2010_2026,2010-01,2026-07,199.0,0.0925530829632939,0.08901795170035681,1.04174445908227,1.9954777369068541,-0.12326364165170334,0.7508546861272692,4.340158287647026,0.6331658291457286,0.032654844105531315,0.020993832845044646,core_ablation,
Stage44_PF_BothGuards,locked_2018_2026,2018-01,2026-07,103.0,0.12916587432346494,0.10358363975155294,1.2291158380476142,2.5506003966441084,-0.12317111538949488,1.0486701684482866,2.8368560969912133,0.6310679611650486,0.03026957358160699,0.010046126842950273,core_ablation,
Stage44_PF_CDaROnly,full_2007_2026,2007-04,2026-07,232.0,0.137081314550765,0.17454959213970864,0.8249675972350937,1.5163011135700273,-0.2524790884161743,0.5429412606433639,11.98494677232526,0.603448275862069,0.030368920769787727,0.02125713686898389,core_ablation,
Stage44_PF_CDaROnly,common_2010_2026,2010-01,2026-07,199.0,0.12272874814460244,0.149706297594689,0.8499296292796691,1.599872284656772,-0.20111963615986195,0.6102275764214802,6.819059538912328,0.6030150753768844,0.016965621073595474,0.011129430639507849,core_ablation,
Stage44_PF_CDaROnly,locked_2018_2026,2018-01,2026-07,103.0,0.17733064451840042,0.17677272295704197,1.015398419239941,1.9688067831648615,-0.20111963615986195,0.8817172102352422,4.060177450476631,0.6504854368932039,0.021266186274986294,0.007094822570177093,core_ablation,
Stage44_PF_VolOnly,full_2007_2026,2007-04,2026-07,232.0,0.10659685467364177,0.0965535214410337,1.1008348538090529,2.179977850575904,-0.12326364171932025,0.8647874846694057,7.086998513812161,0.6293103448275862,0.04130061769533342,0.029634982519766283,core_ablation,
Stage44_PF_VolOnly,common_2010_2026,2010-01,2026-07,199.0,0.09257410952710199,0.08901924927749583,1.0419484318568408,1.9958547350331892,-0.12326364171932036,0.7510252677581885,4.341543665634564,0.6331658291457286,0.03294253086273087,0.021165527244076447,core_ablation,
