month,signal_cutoff_month,history_end_month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,eps_mu_adjustment_KODEX200,valuation_mu_adjustment_KODEX200,credit_stress_confirmation_multiplier,credit_equity_variance_multiplier,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,expected_monthly_return,expected_monthly_variance,expected_annual_volatility,expected_monthly_log_growth_net,expected_annual_log_growth_net,estimated_transaction_cost,downside_semivariance_diagnostic,downside_semivariance_coefficient_in_objective,historical_cdar,policy,family,displayed_value,objective,volatility_cap,cdar_limit,cdar_confidence,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,sum_error,volatility_slack,cdar_slack
2007-04,2007-03,2007-03,-0.0033939854663632557,-0.0018939841237832096,0.9966060145336367,-0.0033939854663632696,1.0,0.0015,1.3425800463750701e-09,5.214367689053146e-15,0.9999973148399021,2.685160087429966e-06,5.320174306780087e-15,-0.0,-0.011756893913204012,1.631578947368421,1.8157894736842106,1.0,1.0,0.003720720218060906,9.639871713183583e-06,0.010755392161990328,0.0022158955792946373,0.026590746951535647,0.001500004702909677,8.071433779623957e-10,0.0,-4.9208029160696665e-05,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,12,-0.0022158955792947292,0.0,0.11924460783800968,0.13995079197083932
2007-05,2007-04,2007-04,0.0022772189204276518,0.00227725040319191,0.9988755046061447,-0.0011244953938552849,8.995075502408134e-06,2.6985226507224404e-08,4.497537751213863e-09,5.493616769726624e-15,0.9999883645790016,1.1635420988083296e-05,4.848858066130442e-15,-0.0,-0.014582200735994021,0.5974025974025974,1.2987012987012987,1.0,1.0,0.003217732551111321,1.0182905681020186e-05,0.011054178765165788,0.003212606421553094,0.038551277058637125,3.467671771730993e-08,2.767251331042519e-07,0.0,-0.0009962755518880817,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,2,-0.003212606421553092,0.0,0.11894582123483421,0.13900372444811193
2007-06,2007-05,2007-05,-0.01635290026920252,-0.014395724179574727,0.982540993097971,-0.01745900690202895,0.5591931684650842,0.0016775795053952526,0.00027959658423253964,1.871843822086285e-18,0.44079498603977507,0.559205013960225,0.0,0.0,-0.01734297517003403,1.0384615384615385,1.5192307692307692,1.0,1.0,0.005853920105907583,0.0006634799830871626,0.08922869379883329,0.003565001024733097,0.04278001229679716,0.0019571790896309054,0.00012244695503769396,0.0,-0.035843552241236865,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,8,-0.003565001024733097,0.0,0.040771306201166715,0.10415644775876315
2007-07,2007-06,2007-06,0.01889812281159388,0.018898123127489213,1.0011091734529618,0.0,9.02558094928459e-08,2.707674284785377e-10,4.5127904746423016e-11,1.9235989357486128e-18,0.4474024844225792,0.5525975155774209,8.639736061993865e-22,0.0,-0.017421088026983382,1.379746835443038,1.689873417721519,1.0,1.0,0.0037321887861717098,0.0005775366276469568,0.0832492614487569,0.0034434139581214513,0.041320967497457416,6.514226780040426e-09,0.00012446749223342108,0.0,-0.03509304674167757,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,1,-0.0034434139581214513,0.0,0.04675073855124311,0.10490695325832244
2007-08,2007-07,2007-07,0.013196581189078575,0.013196581741593738,1.0143203919395651,0.0,1.5786147558594212e-07,4.735844267578264e-10,7.893073777909287e-11,2.07175005330735e-18,0.4425112103805621,0.5574887896194379,1.3696648656020778e-21,0.0,-0.017183473194100695,1.3,1.65,1.0,1.0,0.005975294440831561,0.000557602859480435,0.0817999652430563,0.005696486467749276,0.0683578376129913,6.543342067461629e-09,0.00011920410951356164,0.0,-0.03564863876244545,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,1,-0.005696486467749276,0.0,0.048200034756943705,0.10435136123755456
2007-09,2007-08,2007-08,0.041559332138818385,0.04155933447261647,1.056474870003358,0.0,6.667994532916229e-07,2.0003983598748686e-09,3.3339972665968886e-10,2.009624558104082e-18,0.43580375686780726,0.5641962431321929,1.3003412570657218e-21,0.0,-0.014405896795849716,1.123456790123457,1.5617283950617284,1.0,1.0,0.006096890382294069,0.0005161053038715437,0.07869729122694456,0.005838830523623992,0.07006596628348791,7.206734304506568e-09,0.00011548136714308003,0.0,-0.036410323881222895,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,1,-0.005838830523623992,0.0,0.05130270877305544,0.10358967611877712
2007-10,2007-09,2007-09,0.03572797659982243,0.035727977229183666,1.0942205794371382,0.0,1.7981749755968827e-07,5.394524926790649e-10,8.990874872383192e-11,3.6183441309020013e-23,0.4194776053045904,0.5805223946954096,0.0,0.0,-0.014641885407259497,1.7317073170731707,1.8658536585365852,1.0,1.0,0.007759167963892741,0.000678115289022238,0.09020744685593787,0.007420103763246701,0.08904124515896042,6.5561349204123865e-09,0.00011681983275105024,0.0,-0.038263303474079635,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,1,-0.007420103763246701,0.0,0.03979255314406213,0.10173669652592038
2007-11,2007-10,2007-10,0.011478164108557934,0.012175248018873668,1.106780222818879,0.0,0.19916683151878095,0.0005975004945563429,9.958341575939052e-05,0.0,0.20781743381634646,0.7921825661836536,1.4684163587190857e-17,-0.0,-0.015473182093144617,1.6506024096385543,1.8253012048192772,1.0,1.0,0.015466310725204,0.0014083333341513764,0.13000000003775583,0.01406505714780379,0.1687806857736455,0.00069708691032452,0.000229336179110605,0.0,-0.06215915182548071,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,7,-0.01406505714780379,0.0,-3.7755826243213164e-11,0.0778408481745193
2007-12,2007-11,2007-11,0.06526698834930382,0.06542435564305762,1.1790164347268386,0.0,0.04496208392965983,0.0001348862517889795,2.248104196482991e-05,2.7755575615628914e-17,0.24960850117672098,0.7503914988232789,3.009507636831757e-17,0.0,-0.013161772647467112,1.7976190476190477,1.8988095238095237,1.0,1.0,0.01107712420222807,0.0014083333333528485,0.1300000000009007,0.010215587241758915,0.12258704690110697,0.000157370293792731,0.0001923369878692735,0.0,-0.05745981860569771,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,3,-0.010215587241758915,0.0,-9.006961843027739e-13,0.0825401813943023
2008-01,2007-12,2007-12,0.08629670779574587,0.08640995874336437,1.2807616714808427,0.0,0.032357413605283644,9.707224081585094e-05,1.617870680264179e-05,0.0,0.2672310250415722,0.7327689749584279,0.0,-0.0,-0.012396679856036034,1.988235294117647,1.9941176470588236,1.0,1.0,0.014781346384474234,0.0014083333333334397,0.13000000000000492,0.013963925770134939,0.16756710924161927,0.00011325394767257608,0.00017338414933957264,0.0,-0.05080517539728443,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,4,-0.013963925770134939,0.0,-4.912736883966318e-15,0.08919482460271558
2008-02,2008-01,2008-01,0.04157951782642918,0.041960991097377866,1.3340151242315876,0.0,0.10899236312819617,0.00032697708938458854,5.4496181564098034e-05,0.01746676774487216,0.3435489126864561,0.6389843195686716,9.150920114789589e-17,-0.0,-0.00652620117924728,1.8953488372093024,1.947674418604651,1.0,1.0,0.017156550672856444,0.001408333333333357,0.1300000000000011,0.01607090923518077,0.1928509108221692,0.0003814747710089945,0.00012278921005891904,0.0,-0.04296602518413084,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,9,-0.01607090923518077,0.0,-1.0824674490095276e-15,0.09703397481586917
2008-03,2008-02,2008-02,-0.03683432417631464,-0.03674967399389982,1.2848775786895348,-0.0368343241763146,0.024185766404234428,7.255729921270328e-05,1.2092883202117222e-05,0.0,0.32467118473087053,0.6753288152691296,1.1650857539373177e-17,-0.0,-0.008167260488437784,0.3103448275862069,1.1551724137931034,1.0,1.0,0.020403380468519947,0.0014083333333333335,0.13,0.0196145621192496,0.23537474543099518,8.46516826036845e-05,0.00013088932746193132,0.0,-0.0452392073781163,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,4,-0.0196145621192496,0.0,0.0,0.09476079262188372
2008-04,2008-03,2008-03,-0.012074984786476476,-0.01170273987800633,1.2693627014743738,-0.04846453505874204,0.1063556881343278,0.0003190670644029834,5.3177844067163924e-05,0.0,0.4434441872622032,0.5565558127377969,0.0,-0.0,-0.008270806760279376,0.06818181818181818,1.0340909090909092,1.0,1.0,0.015986627170829968,0.0014083333333333294,0.1299999999999998,0.014910212595676701,0.17892255114812042,0.00037224790848660157,0.00011732714447835128,0.0,-0.03378525267320701,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,7,-0.014910212595676701,0.0,1.942890293094024e-16,0.10621474732679301
2008-05,2008-04,2008-04,0.0450208690537783,0.04552566295601905,1.326510513439202,-0.005625581491595533,0.15427498078009905,0.00046282494234029713,4.196895990045586e-05,2.0360686818523253e-18,0.3688636282489799,0.47686139097092106,0.15427498078009907,0.0,-0.009184361226252737,1.404494382022472,1.702247191011236,1.0,1.0,0.016100064180345205,0.0014083333333359406,0.13000000000012032,0.014891102111409043,0.1786932253369085,0.0005047954022681909,0.00016923695439051003,0.0,-0.06522574464733721,Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,parameter_free_expected_log_growth,0.13,0.14,0.9,True,False,0,Optimization terminated successfully,13,-0.014891102111409043,0.0,-1.2032042029375134e-13,0.0747742553526628
