Strategy,UnderwaterStart,Trough,Recovery,EpisodeMDD,MonthsToTrough,NetReturnToTrough,TotalCostToTrough,KODEX200_Contribution,BOND_Contribution,GLD_Contribution,USO_Contribution,StockBondCorrelation,AverageCrashPressure,AveragePortfolioPressure
Stage20_VIX6Decomposition,2012-10,2013-06,2017-05,-0.14014806838821614,9,-0.14014806838821592,0.0005095755199502862,-0.02918156297848429,0.0029959708780601226,-0.12109182459749798,1.035560253544406e-18,0.15268877599730127,,
Stage20_VIX6Decomposition,2026-06,2026-07,ongoing,-0.11419024448153825,2,-0.11419024448153814,0.0002499789282104818,-0.05886352519805011,-0.0013468002566234798,-0.055037768853896024,-0.0007353573360895383,-1.0,,
Stage20_VIX6Decomposition,2008-07,2008-10,2008-12,-0.106124427282826,4,-0.106124427282826,0.0022625654448946634,-0.02012209246459603,0.011084609600770885,-0.045871697756545905,-0.05049811002266749,-0.6504373097830235,,
Stage20_VIX6Decomposition,2009-03,2009-04,2009-11,-0.075236983421479,2,-0.07523698342147889,0.00016171472853947682,3.362422476851773e-19,0.013496395737854815,-0.08999461337851608,-4.509422234067072e-19,-1.0,,
Stage20_VIX6Decomposition,2026-03,2026-03,2026-05,-0.06659422304063523,1,-0.06659422304063523,0.0002070159607292274,-0.032964124540473635,-0.0029076813047311184,-0.030515401234701284,7.19070150733434e-18,,,
Stage28_OptionDirectionalSurface,2012-10,2014-10,2019-08,-0.18083283995983168,25,-0.1808328399598319,0.00036117731418183345,-0.007319194099295505,0.027631043985751034,-0.21142845504144855,-6.866858124180094e-18,0.05803526667676514,,
Stage28_OptionDirectionalSurface,2026-06,2026-07,ongoing,-0.11036089062904042,2,-0.11036089062904042,0.00030377361206229117,-0.06282410489479329,-0.001502877455233191,-0.047302183131873746,-4.3099972643707424e-07,-1.0,,
Stage28_OptionDirectionalSurface,2008-07,2008-08,2008-11,-0.0814665999058326,2,-0.0814665999058326,0.0003750015963602123,-0.017446227469801512,0.0008099342007245401,-0.039854515915962854,-0.025940942999236053,1.0,,
Stage28_OptionDirectionalSurface,2007-11,2008-01,2008-06,-0.0697332705810797,3,-0.06973327058107959,0.0012436619703464803,-0.12413416907303901,0.003471043181317044,0.051723788565997256,1.6182631872005229e-19,-0.6511549296666932,,
Stage28_OptionDirectionalSurface,2026-03,2026-03,2026-05,-0.06858241866881643,1,-0.06858241866881643,0.0002202624389376223,-0.038366522711158306,-0.002970651178483224,-0.02702498234023726,4.555673703003336e-18,,,
Stage28_VKOSPIOnly_NoODS,2012-10,2013-06,2017-05,-0.1371839442722237,9,-0.13718394427222358,0.0005280122195652688,-0.029070442922877384,0.00311730162774072,-0.11799676395078817,2.5363685927774317e-18,0.15268877599730127,,
Stage28_VKOSPIOnly_NoODS,2026-06,2026-07,ongoing,-0.10953573495739777,2,-0.10953573495739777,0.0002525645841486509,-0.056009650061907244,-0.0014568631515627433,-0.05368149780022051,-1.8057015519676747e-06,-1.0,,
Stage28_VKOSPIOnly_NoODS,2008-07,2008-08,2008-11,-0.08246942905941934,2,-0.08246942905941923,0.0003503881748693734,-0.019423238423942207,0.000716446710343455,-0.042237512953183426,-0.022588141016268628,1.0,,
Stage28_VKOSPIOnly_NoODS,2009-03,2009-04,2009-11,-0.07315670360880577,2,-0.07315670360880588,0.00016550047434440827,2.483735787309e-18,0.013642637031677628,-0.08797671158339489,-2.81310261636824e-20,-1.0,,
Stage28_VKOSPIOnly_NoODS,2026-03,2026-03,2026-05,-0.06539049284871701,1,-0.06539049284871701,0.00021102450135501152,-0.032302982654355335,-0.003034743975519775,-0.029841741717486884,1.4200516591896006e-18,,,
