month,policy,model_active,return,gross_return,nav,drawdown,predecision_drawdown,drawdown_multiplier,maximum_objective_tilt,applied_objective_tilt,objective_overlay_deployed,objective_lw_risk_veto,deployed_risk_model,desired_lw_annual_volatility,desired_lw_historical_cdar,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,desired_w_KODEX200,desired_w_BOND,desired_w_GLD,desired_w_USO,shadow_w_KODEX200,shadow_w_BOND,shadow_w_GLD,shadow_w_USO,regime_confidence,covariance_cutoff,covariance_start,covariance_end,covariance_observations,lw_shrinkage,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_monthly_return,expected_monthly_variance,downside_semivariance,estimated_transaction_cost,monthly_utility,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,turnover_budget_l1,baseline_turnover_budget_l1,minimum_risk_trade_l1,risk_required_extra_trade_l1,actual_trade_l1,turnover_slack,projection_distance
2007-04,Stage47_B_GuardedStage36Objective_LW,False,-0.003393979911460189,-0.0018939787307535887,0.9966060200885398,-0.0033939799114601765,0.0,1.0,0.05,0.0,False,False,stage36_frozen_fallback,0.012113995733063364,-4.92079961226799e-05,1.0,0.0015,1.180706600417266e-09,0.0,0.9999976385867992,2.361413200834532e-06,0.0,0.0,0.9999976385867992,2.361413200834532e-06,0.0,0.0,0.9999976385867992,2.361413200834532e-06,0.0,,2007-03-31,2006-04-13,2007-03-30,252,0.04739306077384952,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,9.63988640473245e-06,,0.0015000045867296717,,0.0107554003578104,-4.92079961226799e-05,0.0,0.1192445996421895,0.1599507920038773,,1.0,0.0,0.0,1.0,,0.0
2007-05,Stage47_B_GuardedStage36Objective_LW,False,0.002277211701651505,0.0022772428347960687,0.9988755029794217,-0.0011244970205782634,-0.0033939799114601765,0.9095608362074286,0.05,0.0,False,False,stage36_frozen_fallback,0.011962912961428844,-0.0009962720256935231,8.895184161023039e-06,2.6685552483069118e-08,4.4475920805087505e-09,5.187306255812741e-20,0.9999887828140038,1.1217185996202345e-05,0.0,5.187306255812741e-20,0.9999887828140038,1.1217185996202345e-05,0.0,5.187306255812741e-20,0.9999887828140038,1.1217185996202345e-05,0.0,,2007-04-30,2006-05-12,2007-04-30,252,0.04991702019011051,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,1.01829101512916e-05,,3.432926252589795e-08,,0.0110541811915446,-0.0009962720256935,0.0,0.1189458188084553,0.1590037279743064,,1.7790368322046078e-05,0.0,0.0,1.7790368322046078e-05,,0.0
2007-06,Stage47_B_GuardedStage36Objective_LW,False,-0.011502853901367372,-0.010113022338644594,0.9873855840029946,-0.012614415997005413,-0.0011244970205782634,0.9700356004215173,0.05,0.0,False,False,stage36_frozen_fallback,0.1079433034155135,-0.02030957234104136,0.3970947322065079,0.0011912841966195238,0.000198547366103254,0.0,0.6028938480843683,0.3971061519156317,5.692061405548898e-19,0.0,0.6028938480843683,0.3971061519156317,5.692061405548898e-19,0.0,0.6028938480843683,0.3971061519156317,5.692061405548898e-19,,2007-05-31,2006-06-14,2007-05-31,252,0.04575129890675247,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.0003375855110995,,0.001389834562727185,,0.0636476718599758,-0.0203095723410413,0.0,0.0663523281400241,0.1396904276589586,,0.7941894644130159,0.0,0.0,0.7941894644130159,,0.0
2007-07,Stage47_B_GuardedStage36Objective_LW,False,0.015635040385717856,0.015635040614722075,1.002823397485157,0.0,-0.012614415997005413,0.6638644705442618,0.05,0.0,False,False,stage36_frozen_fallback,0.10424759962777941,-0.0197138229272929,6.542977648571522e-08,1.9628932945714568e-10,3.27148882428574e-11,8.65667672093895e-22,0.6092837660643063,0.3907162339356937,6.118188852188554e-19,8.65667672093895e-22,0.6092837660643063,0.3907162339356937,6.118188852188554e-19,8.65667672093895e-22,0.6092837660643063,0.3907162339356937,6.118188852188554e-19,,2007-06-30,2006-07-13,2007-06-29,252,0.04610365131849997,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.0002965164457254,,6.5074838462528085e-09,,0.0596506273957422,-0.0197138229272929,0.0,0.0703493726042577,0.1402861770727071,,1.3085955297143044e-07,0.0,0.0,1.3085955297143044e-07,,0.0
2007-08,Stage47_B_GuardedStage36Objective_LW,False,0.008732925301267744,0.0087329257600809,1.0115809793057584,0.0,0.0,1.0,0.05,0.0,False,False,stage36_frozen_fallback,0.10272097941670609,-0.02015434615296058,1.3108947316542547e-07,3.932684194962764e-10,6.554473658271187e-11,2.450766030389303e-21,0.604558928764648,0.3954410712353521,6.7631653107271515e-19,2.450766030389303e-21,0.604558928764648,0.3954410712353521,6.7631653107271515e-19,2.450766030389303e-21,0.604558928764648,0.3954410712353521,6.7631653107271515e-19,,2007-07-31,2006-08-14,2007-07-31,252,0.05051096637403731,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.0002908280060075,,6.529944689678743e-09,,0.0590756808855414,-0.0201543461529605,0.0,0.0709243191144585,0.1398456538470394,,2.6217894633085093e-07,0.0,0.0,2.6217894633085093e-07,,0.0
2007-09,Stage47_B_GuardedStage36Objective_LW,False,0.030340093710277308,0.030340095841963486,1.0422724410134292,0.0,0.0,1.0,0.05,0.0,False,False,stage36_frozen_fallback,0.09775016843670434,-0.020762932867505024,6.090531936009394e-07,1.8271595808028184e-09,3.045265968143473e-10,2.775856437596188e-17,0.5980301413442428,0.4019698586557572,2.840093107110903e-17,2.775856437596188e-17,0.5980301413442428,0.4019698586557572,2.840093107110903e-17,2.775856437596188e-17,0.5980301413442428,0.4019698586557572,2.840093107110903e-17,,2007-08-31,2006-09-14,2007-08-31,252,0.05982169017954228,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.0002698526647665,,7.098058803810541e-09,,0.0569054652665146,-0.020762932867505,0.0,0.0730945347334854,0.1392370671324949,,1.2181063872018789e-06,0.0,0.0,1.2181063872018789e-06,,0.0
2007-10,Stage47_B_GuardedStage36Objective_LW,False,0.02709763361866582,0.027097634256547088,1.0705155577508436,0.0,0.0,1.0,0.05,0.0,False,False,stage36_frozen_fallback,0.09303199974529129,-0.02226637700884193,1.8225179077015522e-07,5.467553723104657e-10,9.112589538506023e-11,2.7913806011666384e-17,0.581894628869611,0.4181053711303891,2.98349783547116e-17,2.7913806011666384e-17,0.581894628869611,0.4181053711303891,2.98349783547116e-17,2.7913806011666384e-17,0.581894628869611,0.4181053711303891,2.98349783547116e-17,,2007-09-30,2006-10-12,2007-09-28,252,0.06843414848905073,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.0003558088466833,,6.557652668779907e-09,,0.0653429886078109,-0.0222663770088419,0.0,0.064657011392189,0.137733622991158,,3.6450358154031044e-07,0.0,0.0,3.6450358154031044e-07,,0.0
2007-11,Stage47_B_GuardedStage36Objective_LW,False,0.010910031586226153,0.012175248014544341,1.0821949162994517,0.0,0.0,1.0,0.05,0.0,False,False,stage36_frozen_fallback,0.1760288195602018,-0.062159151800535106,0.36149040809091054,0.0010844712242727317,0.00018074520404545518,4.7340671402658346e-17,0.2078174340384077,0.7921825659615922,3.4043101183097585e-17,4.7340671402658346e-17,0.2078174340384077,0.7921825659615922,3.4043101183097585e-17,4.7340671402658346e-17,0.2078174340384077,0.7921825659615922,3.4043101183097585e-17,,2007-10-31,2006-11-14,2007-10-31,252,0.055769476886525095,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.0014083333333696,,0.0012652194283230278,,0.130000000001678,-0.0621591518005351,0.0,-1.6780743461453085e-12,0.0978408481994649,,0.7229808161818211,0.0,0.0,0.7229808161818211,,0.0
2007-12,Stage47_B_GuardedStage36Objective_LW,False,0.06526698835007223,0.06542435564305762,1.1528265192940754,0.0,0.0,1.0,0.05,0.0,False,False,stage36_frozen_fallback,0.17438228774139256,-0.05745981860569771,0.04496208371011156,0.00013488625113033468,2.2481041855055802e-05,1.8571958160625e-18,0.2496085011767209,0.750391498823279,0.0,1.8571958160625e-18,0.2496085011767209,0.750391498823279,0.0,1.8571958160625e-18,0.2496085011767209,0.750391498823279,0.0,,2007-11-30,2006-12-14,2007-11-30,252,0.05518464458246113,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.0014083333333528,,0.00015737029302431208,,0.1300000000009007,-0.0574598186056977,0.0,-9.007239398783896e-13,0.1025401813943023,,0.08992416742022312,0.0,0.0,0.08992416742022312,,0.0
2008-01,Stage47_B_GuardedStage36Objective_LW,False,0.08629670779574589,0.08640995874336438,1.2523116525687832,0.0,0.0,1.0,0.05,0.0,False,False,stage36_frozen_fallback,0.16853508478685217,-0.05080517539728461,0.03235741360528342,9.707224081585027e-05,1.6178706802641714e-05,4.675525514123435e-19,0.2672310250415718,0.7327689749584281,6.0182749693602115e-18,4.675525514123435e-19,0.2672310250415718,0.7327689749584281,6.0182749693602115e-18,4.675525514123435e-19,0.2672310250415718,0.7327689749584281,6.0182749693602115e-18,,2007-12-31,2007-01-12,2007-12-31,252,0.054692486130835834,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.0014083333333334,,0.00011325394767257542,,0.1300000000000049,-0.0508051753972846,1.1102230246251565e-16,-4.9404924595819466e-15,0.1091948246027154,,0.06471482721056684,0.0,0.0,0.06471482721056684,,0.0
