month,return,baseline_return,defensive_return,p_defensive,activation,defensive_shift,turnover,incremental_turnover,incremental_trade_cost,incremental_fx_cost,nav,drawdown
2007-04,0.0388087757253543,0.0388087757253543,-0.01855210588422962,0.5,0.0,0.0,1.4999999999999996,0.0,0.0,0.0,1.0388087757253543,0.0
2007-05,0.085063925928057,0.085063925928057,0.020373075597843515,0.5,0.0,0.0,0.0411588549353039,0.0,0.0,0.0,1.1271739284770714,0.0
2007-06,0.0104442505778792,0.0104442505778792,-0.02604166341920977,0.5,0.0,0.0,0.0469436233511163,0.0,0.0,0.0,1.1389464154309386,0.0
2007-07,0.1100693532442702,0.1100693532442702,0.027916529754136388,0.5,0.0,0.0,0.4325891039953008,0.0,0.0,0.0,1.264309510757302,0.0
2007-08,-0.0090469573784583,-0.0090469573784583,0.02538569387966172,0.5,0.0,0.0,0.1081896192149043,0.0,0.0,0.0,1.2528713565003011,-0.009046957378458287
2007-09,0.056162678102495,0.056162678102495,0.0716986139752378,0.5,0.0,0.0,0.0579099133763775,0.0,0.0,0.0,1.323235967199264,0.0
2007-10,0.0630429603816076,0.0630429603816076,0.05801773185992043,0.5,0.0,0.0,0.2909762574415032,0.0,0.0,0.0,1.4066566798549254,0.0
2007-11,-0.0229578406573741,-0.0229578406573741,0.01622687023261493,0.5,0.0,0.0,0.610265357652521,0.0,0.0,0.0,1.3743628799391852,-0.02295784065737405
2007-12,0.0691227772602534,0.0691227772602534,0.08634531547774382,0.5,0.0,0.0,0.0705884061296888,0.0,0.0,0.0,1.469362659163982,0.0
2008-01,-0.020455317621454,-0.020455317621454,0.10895704479819779,0.5,0.0,0.0,0.0154044734412872,0.0,0.0,0.0,1.4393063792696783,-0.020455317621454028
2008-02,0.0702932815952059,0.0702932815952059,0.06178764605587439,0.5,0.0,0.0,0.0215985923108661,0.0,0.0,0.0,1.5404799478894582,0.0
2008-03,0.0081796607913779,0.0081796607913779,-0.054461019742220285,0.5,0.0,0.0,0.0219167544124367,0.0,0.0,0.0,1.5530805513191137,0.0
2008-04,0.0764211373557031,0.0764211373557031,-0.02831896024044145,0.5,0.0,0.0,0.1000996037787973,0.0,0.0,0.0,1.6717687334559428,0.0
2008-05,0.0700210720111269,0.0700210720111269,0.05495357915696775,0.5,0.0,0.0,0.0272681540137204,0.0,0.0,0.0,1.788827772327212,0.0
